LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
PMU20VFYSQ,25,48955,47159,310,74,3,17.12,12,0.87,High School,Unemployed,Divorced,No,No,Home,No,1
9S325E0FBV,41,17662,245898,754,58,4,18.86,24,0.73,High School,Unemployed,Married,No,No,Other,Yes,1
6LA4DHGKVG,21,116115,56393,557,78,4,21.93,24,0.32,High School,Self-employed,Single,Yes,Yes,Education,No,1
HGJVSP5YPS,60,15679,173526,630,50,2,24.61,48,0.33,High School,Unemployed,Divorced,No,Yes,Other,Yes,1
TFI5K35BL0,47,35168,90649,510,48,1,18.67,12,0.5,Master's,Unemployed,Single,Yes,No,Business,No,1
S03OJOQCC8,18,145610,197944,697,11,4,8.47,12,0.57,PhD,Unemployed,Single,Yes,Yes,Home,Yes,1
WMBHSM83I3,31,86332,230088,500,73,2,11.78,24,0.79,PhD,Full-time,Single,No,Yes,Home,No,1
N9H51XIY0A,21,73900,110097,643,14,4,2.68,36,0.77,High School,Part-time,Single,No,Yes,Auto,Yes,1
6V06FJWFWS,51,21130,167814,779,63,3,21.01,48,0.79,High School,Self-employed,Married,No,No,Other,Yes,1
R4IX0C7HW9,24,20746,157709,713,22,1,19.5,24,0.54,Bachelor's,Self-employed,Single,Yes,No,Education,No,1
DY4VBU8MDO,67,123337,21856,565,6,4,14.07,60,0.35,Bachelor's,Unemployed,Married,No,Yes,Education,Yes,1
GMF2QI718T,58,91908,200462,529,3,2,15.7,24,0.81,High School,Unemployed,Married,No,Yes,Auto,No,1
GM1A5VMEA1,30,35619,223269,640,37,1,11.56,24,0.77,Bachelor's,Self-employed,Single,Yes,No,Other,Yes,1
AL6F1SSX25,59,105471,141430,499,14,3,2.97,12,0.77,PhD,Full-time,Married,Yes,No,Other,Yes,1
OZDJB1XGIP,40,128870,218311,718,1,2,6.42,36,0.56,Bachelor's,Unemployed,Single,No,Yes,Home,No,1
0PIT7R23ZH,28,38545,199976,758,29,3,17.26,24,0.53,PhD,Self-employed,Divorced,Yes,No,Business,Yes,1
B8R64G307I,68,23814,209490,675,90,3,21.48,12,0.43,Master's,Unemployed,Married,Yes,No,Home,No,1
3QSJMUJ5VR,20,64680,171105,774,90,1,9.47,24,0.1,Master's,Full-time,Single,Yes,No,Other,No,1
WTS3MY0MJG,48,140520,60779,694,23,3,16.12,48,0.64,High School,Unemployed,Married,Yes,Yes,Education,No,1
DRWCJ12ATY,45,139402,120461,780,36,3,23.85,36,0.43,High School,Self-employed,Divorced,No,No,Other,Yes,1
F3E4E56SLA,64,147512,11871,470,26,2,19.73,36,0.45,PhD,Full-time,Single,Yes,Yes,Home,Yes,1
MFLQDY7C1J,19,132685,70641,357,86,3,24.24,12,0.6,Bachelor's,Self-employed,Married,No,No,Home,Yes,1
EE6TEU7HTV,26,32388,192083,336,35,1,17.59,48,0.69,Master's,Unemployed,Divorced,Yes,No,Business,No,1
XCW08BDJ7N,31,102452,207476,833,56,4,21.55,24,0.8,High School,Full-time,Single,Yes,Yes,Auto,Yes,1
V2QQBNUR48,28,68485,243915,362,16,1,23.27,60,0.72,PhD,Full-time,Married,No,Yes,Business,No,1
W3SI7YJWRY,27,109551,51535,807,7,3,23.45,60,0.71,PhD,Self-employed,Single,Yes,No,Auto,Yes,1
VXJWHKDG1B,36,142108,67396,306,14,3,13.63,60,0.54,Master's,Part-time,Divorced,No,Yes,Auto,No,1
7AG0UPDH14,43,23126,201831,437,29,4,17.3,60,0.45,High School,Full-time,Single,No,No,Home,No,1
P4X28M096Y,22,59876,198254,359,15,1,19.45,60,0.13,Master's,Part-time,Divorced,Yes,Yes,Home,No,1
RX246JL6CU,54,28988,116385,806,19,4,8.01,12,0.22,Bachelor's,Part-time,Single,Yes,Yes,Business,Yes,1
GJVY6TNVBI,19,133476,29718,366,101,2,9.67,36,0.55,Bachelor's,Full-time,Married,Yes,Yes,Other,No,1
PMK74IKQ7Y,50,19844,70534,605,81,1,8.41,48,0.4,PhD,Full-time,Divorced,Yes,Yes,Home,Yes,1
